Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
Property 618,A nice property,55 Lac,5593223,Ghaziabad,1944 sqft,Resale,25,Under Construction,Furnished,South,Main Road,Society 22,2.0,0.0,,Freehold,2461 sqft,NA,1129 sqft
Property 619,A nice property,1.8 Cr,18245978,Mumbai,4205 sqft,Under Construction,2,Ready to Move,Unfurnished,North,NA,Society 27,3.0,,0.0,Freehold,4488 sqft,NA,2604 sqft
Property 620,A nice property,1.1 Cr,10750590,Delhi,3476 sqft,Under Construction,2,Ready to Move,Semi-Furnished,South,Park,Society 9,1.0,3.0,1.0,Freehold,2742 sqft,NA,3415 sqft
Property 621,A nice property,72 Lac,7268141,Surat,2345 sqft,Ready,21,Ready to Move,Semi-Furnished,West,NA,Society 4,2.0,,0.0,Freehold,5075 sqft,NA,2070 sqft
Property 622,A nice property,81 Lac,8116034,Pune,1840 sqft,Resale,19,Under Construction,Furnished,North,Main Road,Society 27,3.0,3.0,2.0,Leasehold,1070 sqft,NA,3209 sqft
Property 623,A nice property,74 Lac,7432798,Chandigarh,3972 sqft,Under Construction,21,Ready to Move,Furnished,West,Park,Society 17,2.0,,2.0,Freehold,1251 sqft,NA,NA
Property 624,A nice property,24 Lac,2491597,Chennai,4224 sqft,Ready,Ground,Under Construction,Unfurnished,North,Park,Society 10,3.0,3.0,3.0,Leasehold,2484 sqft,NA,3992 sqft
Property 625,A nice property,91 Lac,9172651,Bangalore,2379 sqft,Ready,17,Under Construction,Semi-Furnished,East,NA,NA,2.0,,1.0,Leasehold,1316 sqft,NA,1923 sqft
Property 626,A nice property,22 Lac,2252231,Jaipur,1310 sqft,Under Construction,Ground,Under Construction,Unfurnished,West,Park,Society 20,3.0,3.0,1.0,Leasehold,5005 sqft,NA,4862 sqft
Property 627,A nice property,22 Lac,2234160,Bhopal,1423 sqft,Under Construction,22,Ready to Move,Furnished,South,Park,Society 50,2.0,1.0,3.0,Leasehold,2852 sqft,NA,NA
Property 628,A nice property,33 Lac,3302948,Indore,1746 sqft,Resale,10,Under Construction,Semi-Furnished,East,Park,Society 40,1.0,1.0,2.0,Freehold,2279 sqft,NA,3725 sqft
Property 629,A nice property,73 Lac,7395556,Kolkata,1608 sqft,Ready,11,Ready to Move,Furnished,East,Main Road,Society 19,4.0,3.0,2.0,Freehold,3053 sqft,NA,NA
Property 630,A nice property,28 Lac,2839910,Chandigarh,3745 sqft,Ready,Ground,Under Construction,Furnished,North,NA,NA,3.0,3.0,3.0,Freehold,1314 sqft,NA,NA
Property 631,A nice property,45 Lac,4518692,Indore,3479 sqft,Resale,9,Ready to Move,Unfurnished,North,NA,Society 13,1.0,0.0,3.0,Freehold,2243 sqft,NA,1180 sqft
Property 632,A nice property,39 Lac,3960255,Indore,4117 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,North,Park,Society 27,4.0,,0.0,Freehold,3521 sqft,NA,1074 sqft
Property 633,A nice property,52 Lac,5227487,Bhopal,3176 sqft,Resale,5,Ready to Move,Semi-Furnished,North,Park,Society 28,3.0,1.0,3.0,Freehold,4644 sqft,NA,NA
Property 634,A nice property,54 Lac,5487285,Jaipur,1745 sqft,Resale,15,Ready to Move,Furnished,North,Park,NA,5.0,3.0,,Freehold,1677 sqft,NA,1611 sqft
Property 635,A nice property,47 Lac,4737691,Surat,2629 sqft,Resale,18,Ready to Move,Furnished,North,Park,Society 21,4.0,2.0,3.0,Leasehold,4283 sqft,NA,4336 sqft
Property 636,A nice property,67 Lac,6726617,Jaipur,2868 sqft,Resale,20,Ready to Move,Furnished,North,NA,Society 3,3.0,,0.0,Leasehold,5300 sqft,NA,2720 sqft
Property 637,A nice property,99 Lac,9930580,Delhi,1290 sqft,Resale,23,Ready to Move,Unfurnished,East,NA,Society 29,4.0,,3.0,Leasehold,1870 sqft,NA,3990 sqft
Property 638,A nice property,50 Lac,5012378,Visakhapatnam,2632 sqft,Ready,21,Under Construction,Semi-Furnished,South,Main Road,NA,,3.0,2.0,Leasehold,4091 sqft,NA,4577 sqft
Property 639,A nice property,1.5 Cr,14752687,Mumbai,2934 sqft,Under Construction,7,Ready to Move,Unfurnished,North,Park,Society 13,1.0,1.0,1.0,Leasehold,1718 sqft,NA,2413 sqft
Property 640,A nice property,66 Lac,6648363,Vadodara,819 sqft,Ready,Ground,Ready to Move,Furnished,North,Park,NA,3.0,,1.0,Freehold,1235 sqft,NA,4231 sqft
Property 641,A nice property,1.5 Cr,15280011,Bangalore,3071 sqft,Resale,18,Under Construction,Unfurnished,South,Main Road,Society 18,,2.0,3.0,Freehold,1590 sqft,NA,1045 sqft
Property 642,A nice property,34 Lac,3444527,Nagpur,2283 sqft,Ready,24,Under Construction,Unfurnished,West,Main Road,NA,5.0,,2.0,Leasehold,3050 sqft,NA,524 sqft
Property 643,A nice property,38 Lac,3804212,Ahmedabad,4841 sqft,Under Construction,5,Ready to Move,Unfurnished,North,Main Road,Society 42,1.0,1.0,2.0,Freehold,4478 sqft,NA,1603 sqft
Property 644,A nice property,72 Lac,7289256,Delhi,4774 sqft,Under Construction,18,Under Construction,Unfurnished,West,Main Road,Society 12,1.0,2.0,3.0,Freehold,3827 sqft,NA,940 sqft
Property 645,A nice property,1.0 Cr,10174803,Bangalore,2145 sqft,Resale,3,Ready to Move,Semi-Furnished,East,Main Road,NA,3.0,3.0,,Leasehold,2097 sqft,NA,2327 sqft
Property 646,A nice property,1.8 Cr,18256163,Mumbai,3809 sqft,Under Construction,10,Under Construction,Unfurnished,North,NA,Society 47,2.0,0.0,1.0,Leasehold,906 sqft,NA,1181 sqft
Property 647,A nice property,47 Lac,4792573,Ahmedabad,3021 sqft,Under Construction,25,Under Construction,Furnished,North,Main Road,NA,3.0,2.0,2.0,Leasehold,4347 sqft,NA,NA
Property 648,A nice property,40 Lac,4052660,Kolkata,1047 sqft,Resale,1,Ready to Move,Furnished,South,NA,Society 35,3.0,0.0,1.0,Freehold,2379 sqft,NA,NA
Property 649,A nice property,1.5 Cr,15327051,Mumbai,2560 sqft,Ready,18,Ready to Move,Unfurnished,East,NA,Society 39,2.0,0.0,,Leasehold,2791 sqft,NA,1295 sqft
Property 650,A nice property,49 Lac,4928537,Ludhiana,4654 sqft,Ready,8,Ready to Move,Furnished,East,Park,Society 18,1.0,0.0,2.0,Leasehold,4478 sqft,NA,NA
Property 651,A nice property,1.0 Cr,10002802,Pune,3761 sqft,Resale,Ground,Ready to Move,Unfurnished,West,Park,Society 14,3.0,1.0,1.0,Freehold,5112 sqft,NA,1961 sqft
Property 652,A nice property,55 Lac,5500018,Ahmedabad,1523 sqft,Ready,14,Ready to Move,Furnished,North,NA,Society 38,2.0,,3.0,Leasehold,4644 sqft,NA,1976 sqft
Property 653,A nice property,62 Lac,6216423,Pune,2574 sqft,Resale,Ground,Under Construction,Unfurnished,East,NA,NA,2.0,1.0,,Leasehold,2575 sqft,NA,4041 sqft
Property 654,A nice property,31 Lac,3111540,Visakhapatnam,4692 sqft,Resale,2,Ready to Move,Unfurnished,East,Park,Society 41,3.0,0.0,,Freehold,3516 sqft,NA,3673 sqft
Property 655,A nice property,1.3 Cr,12788838,Hyderabad,1181 sqft,Resale,Ground,Under Construction,Unfurnished,East,Main Road,NA,4.0,0.0,3.0,Leasehold,3256 sqft,NA,632 sqft
Property 656,A nice property,70 Lac,7022011,Ghaziabad,4927 sqft,Ready,17,Ready to Move,Semi-Furnished,South,NA,Society 39,4.0,2.0,3.0,Leasehold,1691 sqft,NA,1737 sqft
Property 657,A nice property,54 Lac,5484569,Kolkata,698 sqft,Ready,2,Ready to Move,Unfurnished,North,NA,Society 37,4.0,0.0,2.0,Freehold,2998 sqft,NA,3165 sqft
Property 658,A nice property,50 Lac,5060536,Chandigarh,3558 sqft,Under Construction,4,Ready to Move,Unfurnished,South,Park,Society 9,5.0,1.0,3.0,Freehold,3351 sqft,NA,NA
Property 659,A nice property,60 Lac,6062398,Jaipur,3192 sqft,Resale,19,Under Construction,Semi-Furnished,West,Park,Society 22,4.0,1.0,2.0,Freehold,3558 sqft,NA,3624 sqft
Property 660,A nice property,76 Lac,7627454,Nagpur,1681 sqft,Resale,15,Under Construction,Furnished,East,NA,Society 36,,1.0,3.0,Freehold,4120 sqft,NA,3786 sqft
Property 661,A nice property,50 Lac,5091938,Chennai,3768 sqft,Resale,8,Under Construction,Furnished,West,Main Road,Society 14,5.0,0.0,0.0,Leasehold,3201 sqft,NA,3928 sqft
Property 662,A nice property,45 Lac,4543979,Ludhiana,4047 sqft,Ready,Ground,Ready to Move,Semi-Furnished,North,NA,Society 40,2.0,,1.0,Leasehold,4403 sqft,NA,NA
Property 663,A nice property,70 Lac,7073361,Ludhiana,3593 sqft,Under Construction,Ground,Under Construction,Furnished,South,NA,Society 1,3.0,,,Freehold,2289 sqft,NA,1404 sqft
Property 664,A nice property,1.5 Cr,14643362,Hyderabad,2015 sqft,Ready,21,Under Construction,Semi-Furnished,South,Main Road,Society 3,4.0,,,Freehold,1226 sqft,NA,NA
Property 665,A nice property,32 Lac,3247880,Chennai,4458 sqft,Resale,20,Ready to Move,Furnished,East,NA,Society 23,4.0,2.0,2.0,Leasehold,1500 sqft,NA,NA
Property 666,A nice property,75 Lac,7574557,Lucknow,1197 sqft,Resale,10,Under Construction,Furnished,North,Main Road,Society 25,4.0,1.0,3.0,Freehold,3947 sqft,NA,2718 sqft
Property 667,A nice property,40 Lac,4088872,Hyderabad,736 sqft,Ready,23,Ready to Move,Semi-Furnished,East,NA,Society 32,2.0,2.0,1.0,Freehold,4893 sqft,NA,2460 sqft
Property 668,A nice property,38 Lac,3854563,Ghaziabad,1153 sqft,Under Construction,5,Under Construction,Unfurnished,West,Main Road,Society 33,1.0,0.0,,Leasehold,5072 sqft,NA,1978 sqft
Property 669,A nice property,80 Lac,8024296,Mumbai,712 sqft,Ready,17,Under Construction,Semi-Furnished,West,Park,Society 1,3.0,0.0,0.0,Freehold,3377 sqft,NA,4411 sqft
Property 670,A nice property,29 Lac,2948263,Lucknow,2747 sqft,Resale,4,Under Construction,Semi-Furnished,North,NA,Society 32,1.0,3.0,1.0,Leasehold,5553 sqft,NA,4460 sqft
Property 671,A nice property,36 Lac,3693110,Ghaziabad,2367 sqft,Resale,19,Under Construction,Semi-Furnished,West,Park,Society 15,2.0,2.0,0.0,Freehold,2142 sqft,NA,3875 sqft
Property 672,A nice property,39 Lac,3952535,Bhopal,926 sqft,Resale,25,Under Construction,Furnished,West,NA,Society 44,1.0,1.0,,Leasehold,4013 sqft,NA,4830 sqft
Property 673,A nice property,73 Lac,7331455,Bhopal,1095 sqft,Ready,4,Under Construction,Unfurnished,North,Main Road,NA,3.0,3.0,0.0,Leasehold,3996 sqft,NA,2193 sqft
Property 674,A nice property,59 Lac,5915182,Kolkata,3860 sqft,Ready,14,Under Construction,Furnished,North,NA,Society 41,4.0,3.0,,Freehold,2595 sqft,NA,3338 sqft
Property 675,A nice property,1.6 Cr,15717780,Delhi,4750 sqft,Under Construction,Ground,Ready to Move,Unfurnished,North,Park,Society 3,1.0,1.0,0.0,Freehold,4578 sqft,NA,3703 sqft
Property 676,A nice property,53 Lac,5327923,Ghaziabad,2946 sqft,Ready,2,Ready to Move,Furnished,North,Main Road,NA,1.0,2.0,0.0,Leasehold,5919 sqft,NA,NA
Property 677,A nice property,26 Lac,2614256,Ahmedabad,4704 sqft,Resale,5,Ready to Move,Furnished,East,NA,Society 1,3.0,,3.0,Leasehold,854 sqft,NA,4540 sqft
Property 678,A nice property,1.4 Cr,14259099,Hyderabad,4003 sqft,Ready,15,Under Construction,Semi-Furnished,South,Main Road,NA,4.0,,0.0,Freehold,813 sqft,NA,3288 sqft
Property 679,A nice property,26 Lac,2654215,Lucknow,4069 sqft,Under Construction,22,Under Construction,Semi-Furnished,West,Main Road,Society 18,2.0,3.0,2.0,Leasehold,5168 sqft,NA,4810 sqft
Property 680,A nice property,50 Lac,5065411,Ludhiana,3895 sqft,Under Construction,19,Under Construction,Unfurnished,East,NA,NA,5.0,1.0,1.0,Leasehold,4981 sqft,NA,802 sqft
Property 681,A nice property,1.2 Cr,11666056,Hyderabad,1275 sqft,Under Construction,25,Under Construction,Unfurnished,East,Park,Society 3,2.0,1.0,0.0,Freehold,5651 sqft,NA,898 sqft
Property 682,A nice property,60 Lac,6041808,Ghaziabad,4995 sqft,Under Construction,9,Ready to Move,Unfurnished,North,NA,Society 6,3.0,0.0,1.0,Leasehold,2899 sqft,NA,936 sqft
Property 683,A nice property,61 Lac,6134704,Bangalore,1850 sqft,Under Construction,21,Under Construction,Unfurnished,East,Main Road,Society 34,4.0,0.0,,Freehold,2531 sqft,NA,852 sqft
Property 684,A nice property,28 Lac,2832977,Nagpur,2873 sqft,Resale,15,Ready to Move,Semi-Furnished,East,Main Road,Society 49,3.0,3.0,,Leasehold,5195 sqft,NA,2030 sqft
Property 685,A nice property,46 Lac,4606392,Vadodara,1284 sqft,Resale,16,Ready to Move,Semi-Furnished,South,Park,NA,4.0,2.0,,Leasehold,2292 sqft,NA,4637 sqft
Property 686,A nice property,27 Lac,2747810,Surat,3138 sqft,Resale,14,Under Construction,Furnished,West,Main Road,Society 40,3.0,3.0,1.0,Leasehold,1071 sqft,NA,NA
Property 687,A nice property,29 Lac,2966366,Nagpur,1247 sqft,Under Construction,Ground,Under Construction,Unfurnished,West,Main Road,Society 2,1.0,3.0,2.0,Freehold,1720 sqft,NA,3537 sqft
Property 688,A nice property,63 Lac,6325161,Delhi,4788 sqft,Ready,5,Ready to Move,Furnished,North,NA,Society 20,3.0,3.0,2.0,Leasehold,3142 sqft,NA,NA
Property 689,A nice property,49 Lac,4987481,Kochi,2264 sqft,Ready,15,Under Construction,Semi-Furnished,South,Main Road,NA,4.0,2.0,2.0,Freehold,5181 sqft,NA,NA
Property 690,A nice property,64 Lac,6431933,Indore,1872 sqft,Ready,23,Under Construction,Unfurnished,West,NA,Society 37,4.0,3.0,,Freehold,3697 sqft,NA,1137 sqft
Property 691,A nice property,1.2 Cr,11622377,Mumbai,4994 sqft,Ready,17,Ready to Move,Furnished,South,Park,Society 43,3.0,2.0,2.0,Leasehold,4582 sqft,NA,2858 sqft
Property 692,A nice property,73 Lac,7341096,Surat,3276 sqft,Ready,7,Under Construction,Furnished,East,Park,Society 19,5.0,2.0,0.0,Leasehold,4854 sqft,NA,NA
Property 693,A nice property,51 Lac,5191436,Visakhapatnam,3800 sqft,Ready,2,Under Construction,Semi-Furnished,South,Main Road,Society 30,2.0,3.0,0.0,Freehold,1552 sqft,NA,NA
Property 694,A nice property,65 Lac,6579714,Hyderabad,1141 sqft,Resale,18,Under Construction,Unfurnished,East,Main Road,Society 24,2.0,2.0,0.0,Leasehold,4014 sqft,NA,3922 sqft
Property 695,A nice property,37 Lac,3777243,Surat,3140 sqft,Resale,4,Ready to Move,Furnished,East,NA,Society 8,3.0,1.0,1.0,Leasehold,3759 sqft,NA,894 sqft
Property 696,A nice property,25 Lac,2579934,Nagpur,4183 sqft,Under Construction,14,Ready to Move,Furnished,North,Main Road,Society 5,1.0,3.0,0.0,Leasehold,4251 sqft,NA,1975 sqft
Property 697,A nice property,49 Lac,4966687,Chandigarh,2554 sqft,Resale,12,Under Construction,Unfurnished,East,Main Road,Society 28,5.0,1.0,1.0,Leasehold,780 sqft,NA,846 sqft
Property 698,A nice property,75 Lac,7582721,Pune,1074 sqft,Resale,2,Under Construction,Semi-Furnished,East,NA,Society 44,3.0,2.0,1.0,Leasehold,4952 sqft,NA,1255 sqft
Property 699,A nice property,71 Lac,7113310,Surat,2602 sqft,Resale,4,Ready to Move,Furnished,South,Park,Society 11,5.0,1.0,2.0,Freehold,5037 sqft,NA,4634 sqft
Property 700,A nice property,42 Lac,4292829,Chennai,1306 sqft,Ready,12,Under Construction,Semi-Furnished,West,Main Road,Society 33,4.0,1.0,3.0,Freehold,1086 sqft,NA,3043 sqft
Property 701,A nice property,33 Lac,3346019,Kochi,4159 sqft,Resale,16,Ready to Move,Furnished,North,Park,Society 47,5.0,0.0,2.0,Leasehold,2867 sqft,NA,4895 sqft
Property 702,A nice property,66 Lac,6603783,Jaipur,1550 sqft,Ready,5,Under Construction,Furnished,North,Main Road,NA,,1.0,,Freehold,1261 sqft,NA,4541 sqft
Property 703,A nice property,26 Lac,2614971,Ludhiana,4314 sqft,Ready,19,Under Construction,Furnished,West,Main Road,Society 42,1.0,2.0,2.0,Leasehold,4863 sqft,NA,617 sqft
Property 704,A nice property,29 Lac,2949210,Vadodara,1050 sqft,Resale,10,Under Construction,Furnished,North,Park,Society 26,5.0,,0.0,Leasehold,5785 sqft,NA,1267 sqft
Property 705,A nice property,50 Lac,5004711,Visakhapatnam,3133 sqft,Ready,Ground,Under Construction,Unfurnished,West,Park,Society 18,3.0,2.0,,Freehold,1009 sqft,NA,2786 sqft
Property 706,A nice property,65 Lac,6574796,Chandigarh,2038 sqft,Under Construction,24,Under Construction,Furnished,South,Park,NA,1.0,1.0,1.0,Leasehold,1763 sqft,NA,1266 sqft
Property 707,A nice property,58 Lac,5880962,Surat,1578 sqft,Ready,4,Under Construction,Semi-Furnished,South,NA,Society 16,4.0,3.0,,Leasehold,3004 sqft,NA,NA
Property 708,A nice property,53 Lac,5397478,Ghaziabad,703 sqft,Resale,3,Under Construction,Furnished,West,Park,Society 15,2.0,2.0,0.0,Leasehold,3029 sqft,NA,NA
Property 709,A nice property,48 Lac,4834327,Jaipur,1724 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,West,Park,NA,3.0,3.0,3.0,Freehold,3994 sqft,NA,3226 sqft
Property 710,A nice property,23 Lac,2327595,Indore,692 sqft,Ready,19,Under Construction,Semi-Furnished,East,Main Road,Society 2,3.0,3.0,2.0,Leasehold,2212 sqft,NA,832 sqft
Property 711,A nice property,68 Lac,6839015,Ahmedabad,1942 sqft,Resale,15,Ready to Move,Semi-Furnished,North,NA,Society 24,,1.0,3.0,Freehold,5252 sqft,NA,4544 sqft
Property 712,A nice property,1.8 Cr,18015463,Delhi,4666 sqft,Resale,Ground,Under Construction,Furnished,South,Park,Society 25,4.0,3.0,0.0,Leasehold,5016 sqft,NA,2130 sqft
Property 713,A nice property,25 Lac,2538593,Jaipur,3440 sqft,Under Construction,16,Under Construction,Semi-Furnished,South,NA,Society 49,4.0,3.0,1.0,Leasehold,2096 sqft,NA,NA
Property 714,A nice property,51 Lac,5157244,Chandigarh,4884 sqft,Resale,Ground,Ready to Move,Semi-Furnished,North,NA,Society 30,1.0,,0.0,Freehold,4240 sqft,NA,4151 sqft
Property 715,A nice property,36 Lac,3694437,Ahmedabad,4837 sqft,Resale,Ground,Under Construction,Semi-Furnished,North,NA,Society 31,4.0,0.0,0.0,Freehold,1237 sqft,NA,1583 sqft
Property 716,A nice property,70 Lac,7034359,Chandigarh,2723 sqft,Under Construction,5,Ready to Move,Semi-Furnished,East,NA,Society 34,4.0,2.0,1.0,Freehold,4528 sqft,NA,NA
Property 717,A nice property,57 Lac,5762195,Ghaziabad,1967 sqft,Ready,15,Under Construction,Semi-Furnished,North,Main Road,Society 29,2.0,1.0,0.0,Freehold,2381 sqft,NA,929 sqft
Property 718,A nice property,73 Lac,7348476,Ludhiana,3646 sqft,Under Construction,22,Under Construction,Semi-Furnished,North,Main Road,NA,1.0,3.0,0.0,Freehold,2848 sqft,NA,NA
Property 719,A nice property,50 Lac,5055887,Bhopal,1639 sqft,Under Construction,24,Under Construction,Furnished,West,Main Road,NA,3.0,1.0,1.0,Leasehold,3792 sqft,NA,3724 sqft
Property 720,A nice property,21 Lac,2190253,Indore,2801 sqft,Under Construction,20,Ready to Move,Furnished,East,NA,Society 38,1.0,,3.0,Freehold,978 sqft,NA,2120 sqft
Property 721,A nice property,2.0 Cr,20385742,Mumbai,1567 sqft,Ready,14,Ready to Move,Unfurnished,North,NA,Society 42,2.0,1.0,1.0,Leasehold,5165 sqft,NA,NA
Property 722,A nice property,56 Lac,5684037,Visakhapatnam,840 sqft,Ready,13,Ready to Move,Unfurnished,North,Main Road,Society 6,3.0,0.0,2.0,Freehold,4447 sqft,NA,3977 sqft
Property 723,A nice property,70 Lac,7079327,Indore,3344 sqft,Ready,2,Ready to Move,Furnished,East,NA,Society 34,4.0,0.0,0.0,Freehold,2482 sqft,NA,4017 sqft
Property 724,A nice property,31 Lac,3150136,Chennai,4117 sqft,Ready,Ground,Under Construction,Unfurnished,East,Park,Society 49,,2.0,1.0,Leasehold,4254 sqft,NA,3449 sqft
Property 725,A nice property,30 Lac,3013066,Visakhapatnam,2828 sqft,Ready,Ground,Ready to Move,Unfurnished,South,NA,NA,2.0,0.0,2.0,Freehold,2351 sqft,NA,NA
Property 726,A nice property,51 Lac,5109181,Kolkata,4891 sqft,Under Construction,21,Ready to Move,Furnished,West,Park,Society 10,4.0,2.0,2.0,Freehold,1340 sqft,NA,3508 sqft
Property 727,A nice property,25 Lac,2539841,Nagpur,1123 sqft,Ready,6,Ready to Move,Semi-Furnished,West,Main Road,Society 10,1.0,0.0,1.0,Freehold,2845 sqft,NA,NA
Property 728,A nice property,23 Lac,2322730,Jaipur,2754 sqft,Under Construction,19,Under Construction,Semi-Furnished,South,Main Road,Society 24,5.0,,3.0,Leasehold,5320 sqft,NA,NA
Property 729,A nice property,74 Lac,7499040,Indore,1231 sqft,Under Construction,25,Ready to Move,Semi-Furnished,South,Main Road,Society 37,1.0,2.0,1.0,Freehold,2298 sqft,NA,1114 sqft
Property 730,A nice property,70 Lac,7063356,Jaipur,4664 sqft,Ready,18,Under Construction,Semi-Furnished,West,Park,Society 40,4.0,2.0,2.0,Freehold,1467 sqft,NA,NA
Property 731,A nice property,66 Lac,6669623,Ludhiana,4328 sqft,Resale,21,Under Construction,Semi-Furnished,South,Main Road,Society 2,4.0,,0.0,Leasehold,4929 sqft,NA,4545 sqft
Property 732,A nice property,27 Lac,2775756,Jaipur,4784 sqft,Resale,7,Ready to Move,Semi-Furnished,North,NA,Society 10,3.0,3.0,3.0,Freehold,1399 sqft,NA,1619 sqft
Property 733,A nice property,25 Lac,2521104,Vadodara,3550 sqft,Ready,Ground,Ready to Move,Semi-Furnished,West,Main Road,Society 30,4.0,2.0,2.0,Freehold,2256 sqft,NA,4744 sqft
Property 734,A nice property,90 Lac,9020979,Mumbai,1054 sqft,Ready,25,Ready to Move,Semi-Furnished,East,Park,Society 15,5.0,2.0,1.0,Leasehold,4398 sqft,NA,964 sqft
Property 735,A nice property,74 Lac,7406144,Kochi,4692 sqft,Ready,19,Under Construction,Semi-Furnished,South,NA,Society 8,5.0,1.0,0.0,Leasehold,1795 sqft,NA,866 sqft
Property 736,A nice property,68 Lac,6850695,Kolkata,1967 sqft,Ready,25,Ready to Move,Unfurnished,South,Main Road,Society 33,1.0,3.0,1.0,Leasehold,1942 sqft,NA,NA
Property 737,A nice property,1.9 Cr,19343830,Delhi,3612 sqft,Under Construction,1,Ready to Move,Unfurnished,North,NA,Society 2,2.0,,2.0,Freehold,5528 sqft,NA,NA
Property 738,A nice property,42 Lac,4221321,Ahmedabad,1888 sqft,Resale,18,Under Construction,Furnished,South,NA,Society 11,3.0,,,Leasehold,2350 sqft,NA,4921 sqft
Property 739,A nice property,44 Lac,4473803,Surat,2689 sqft,Under Construction,1,Ready to Move,Semi-Furnished,West,NA,Society 44,2.0,1.0,2.0,Leasehold,4960 sqft,NA,517 sqft
Property 740,A nice property,38 Lac,3853545,Visakhapatnam,1442 sqft,Resale,7,Under Construction,Semi-Furnished,East,NA,Society 4,5.0,1.0,0.0,Freehold,756 sqft,NA,2540 sqft
Property 741,A nice property,21 Lac,2126923,Vadodara,1544 sqft,Under Construction,23,Ready to Move,Unfurnished,South,NA,NA,4.0,3.0,2.0,Leasehold,3202 sqft,NA,545 sqft
Property 742,A nice property,22 Lac,2297730,Ahmedabad,2471 sqft,Under Construction,Ground,Under Construction,Unfurnished,East,Main Road,Society 49,3.0,3.0,,Leasehold,3480 sqft,NA,2460 sqft
Property 743,A nice property,31 Lac,3167200,Visakhapatnam,4768 sqft,Ready,3,Under Construction,Semi-Furnished,West,Main Road,Society 21,4.0,3.0,1.0,Freehold,755 sqft,NA,1293 sqft
Property 744,A nice property,58 Lac,5853979,Visakhapatnam,621 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,East,NA,Society 46,2.0,,,Freehold,2577 sqft,NA,NA
Property 745,A nice property,60 Lac,6094662,Chandigarh,960 sqft,Under Construction,13,Ready to Move,Furnished,South,NA,Society 41,3.0,,3.0,Freehold,726 sqft,NA,701 sqft
Property 746,A nice property,1.6 Cr,15559383,Mumbai,700 sqft,Ready,16,Ready to Move,Unfurnished,North,Main Road,Society 43,5.0,,3.0,Leasehold,5960 sqft,NA,3346 sqft
Property 747,A nice property,73 Lac,7320729,Delhi,2603 sqft,Resale,Ground,Ready to Move,Semi-Furnished,South,Park,Society 18,4.0,2.0,1.0,Freehold,4997 sqft,NA,4761 sqft
Property 748,A nice property,21 Lac,2118604,Lucknow,976 sqft,Resale,14,Ready to Move,Semi-Furnished,West,NA,Society 29,,2.0,3.0,Freehold,2582 sqft,NA,3396 sqft
Property 749,A nice property,76 Lac,7681897,Ahmedabad,4464 sqft,Under Construction,1,Ready to Move,Unfurnished,South,Main Road,Society 46,5.0,3.0,2.0,Freehold,2970 sqft,NA,3781 sqft
Property 750,A nice property,51 Lac,5146317,Bhopal,3581 sqft,Resale,Ground,Ready to Move,Semi-Furnished,East,Main Road,Society 41,3.0,2.0,2.0,Freehold,5350 sqft,NA,651 sqft
Property 751,A nice property,48 Lac,4817717,Ahmedabad,3737 sqft,Under Construction,9,Under Construction,Furnished,West,Main Road,Society 27,2.0,3.0,0.0,Freehold,1617 sqft,NA,3746 sqft
Property 752,A nice property,53 Lac,5330108,Lucknow,1829 sqft,Under Construction,4,Under Construction,Unfurnished,South,Main Road,Society 21,3.0,0.0,1.0,Leasehold,1362 sqft,NA,2677 sqft
Property 753,A nice property,67 Lac,6746777,Ghaziabad,2066 sqft,Resale,10,Ready to Move,Unfurnished,North,Main Road,Society 34,2.0,3.0,1.0,Leasehold,3991 sqft,NA,NA
Property 754,A nice property,44 Lac,4425151,Nagpur,889 sqft,Resale,9,Ready to Move,Furnished,East,Park,NA,1.0,0.0,1.0,Leasehold,3044 sqft,NA,2329 sqft
Property 755,A nice property,32 Lac,3225038,Visakhapatnam,4035 sqft,Resale,5,Under Construction,Unfurnished,East,Park,Society 35,1.0,1.0,0.0,Leasehold,4714 sqft,NA,NA
Property 756,A nice property,57 Lac,5745252,Vadodara,2439 sqft,Resale,14,Under Construction,Unfurnished,North,Main Road,Society 44,3.0,,2.0,Leasehold,4078 sqft,NA,3765 sqft
Property 757,A nice property,73 Lac,7395907,Kochi,3236 sqft,Resale,2,Ready to Move,Unfurnished,West,Park,NA,3.0,1.0,3.0,Freehold,2789 sqft,NA,NA
Property 758,A nice property,54 Lac,5465038,Nagpur,2633 sqft,Resale,11,Ready to Move,Unfurnished,North,NA,Society 14,2.0,2.0,2.0,Freehold,5456 sqft,NA,1657 sqft
Property 759,A nice property,72 Lac,7272315,Surat,4009 sqft,Resale,23,Ready to Move,Semi-Furnished,West,Park,Society 5,2.0,3.0,1.0,Freehold,2214 sqft,NA,1883 sqft
Property 760,A nice property,35 Lac,3582902,Vadodara,3220 sqft,Resale,13,Ready to Move,Semi-Furnished,East,Main Road,Society 5,5.0,1.0,0.0,Leasehold,4609 sqft,NA,NA
Property 761,A nice property,66 Lac,6644008,Indore,2822 sqft,Ready,5,Under Construction,Unfurnished,West,Park,Society 39,1.0,3.0,2.0,Freehold,2318 sqft,NA,4136 sqft
